path,title,source_url,evidence_url,rights_basis,obligations,decision,notes
docs/4-research/papers/_corrupted/IEEE_CIM_Survey_2023.pdf,IEEE_CIM_Survey_2023,,,Not for public mirroring,,remove,Archive-only or corrupted copy; purge from current tree and history.
docs/4-research/papers/_corrupted/Mayergoyz_IEEE_1986.pdf,Mayergoyz_IEEE_1986,,,Not for public mirroring,,remove,Archive-only or corrupted copy; purge from current tree and history.
docs/4-research/papers/_corrupted/Tour_In2Se3_ChemRxiv.pdf,Tour_In2Se3_ChemRxiv,,,Not for public mirroring,,remove,Archive-only or corrupted copy; purge from current tree and history.
docs/4-research/papers/by-topic/01-ferroelectric-materials/AlScN_FeDiode_2025_arXiv.pdf,AlScN_FeDiode_2025_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Chatterjee_2018_Design_and_Characterization_of_Ferroelectric_Negative_Capacitance.pdf,Chatterjee_2018_Design_and_Characterization_of_Ferroelectric_Negative_Capacitance,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Device_Variation_Statistical_Model_arXiv.pdf,Device_Variation_Statistical_Model_arXiv,https://arxiv.org/pdf/2003.00464.pdf,https://arxiv.org/abs/2003.00464,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Domain_Wall_Dynamics_Ferroelectric_arXiv.pdf,Domain_Wall_Dynamics_Ferroelectric_arXiv,https://arxiv.org/pdf/1803.06280.pdf,https://arxiv.org/abs/1803.06280,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Ferroelectric_Analog_Switching_arXiv.pdf,Ferroelectric_Analog_Switching_arXiv,https://arxiv.org/pdf/2003.07446.pdf,https://arxiv.org/abs/2003.07446,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Ferroelectric_Domain_Switching_Dynamics_arXiv.pdf,Ferroelectric_Domain_Switching_Dynamics_arXiv,https://arxiv.org/pdf/1708.08310.pdf,https://arxiv.org/abs/1708.08310,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/HZO_Ferroelectric_Discovery_arXiv.pdf,HZO_Ferroelectric_Discovery_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/HZO_Switching_Pathways_arXiv.pdf,HZO_Switching_Pathways_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/HZO_Wakeup_Fatigue_Mechanisms_arXiv.pdf,HZO_Wakeup_Fatigue_Mechanisms_arXiv,https://arxiv.org/pdf/2001.04117.pdf,https://arxiv.org/abs/2001.04117,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Hafnium_Oxide_Ferroelectric_Review_arXiv.pdf,Hafnium_Oxide_Ferroelectric_Review_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Jerry_2017_Ferroelectric_FET_Analog_Synapse_arXiv.pdf,Jerry_2017_Ferroelectric_FET_Analog_Synapse_arXiv,https://arxiv.org/pdf/1708.04729.pdf,https://arxiv.org/abs/1708.04729,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Preisach_Ferroelectric_Modeling_arXiv.pdf,Preisach_Ferroelectric_Modeling_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Resistive_Switching_Mechanisms_arXiv.pdf,Resistive_Switching_Mechanisms_arXiv,https://arxiv.org/pdf/1907.12159.pdf,https://arxiv.org/abs/1907.12159,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Salahuddin_Datta_2007_Negative_Capacitance_arXiv.pdf,Salahuddin_Datta_2007_Negative_Capacitance_arXiv,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Siannas_2022_Metastable_ferroelectricity.pdf,Siannas_2022_Metastable_ferroelectricity,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/TDGL_Ferroelectric_Domains_arXiv.pdf,TDGL_Ferroelectric_Domains_arXiv,https://arxiv.org/pdf/2210.15668.pdf,https://arxiv.org/abs/2210.15668,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Tung_2025_Modeling_and_Design_Enablement.pdf,Tung_2025_Modeling_and_Design_Enablement,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/Zhou_2022_Strain_induced_antipolar_phase.pdf,Zhou_2022_Strain_induced_antipolar_phase,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/adaptive_control_epitaxial_hfo2_zro2_2025.pdf,Adaptive Control Epitaxial HfO2/ZrO2,https://doi.org/10.1038/s41467-025-61758-2,https://www.nature.com/articles/s41467-025-61758-2,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License shown on Nature article page,"attribution, noncommercial only, no derivatives, retain license notice/link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/alscn_endurance_2025.pdf,alscn_endurance_2025,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/atomistic_landau_ferroelectric_md_2022.pdf,Atomistic Landau Model Ferroelectric MD Simulation,https://arxiv.org/pdf/2206.12243.pdf,https://arxiv.org/abs/2206.12243,CC BY-SA 4.0 shown on arXiv item page,"attribution, share alike, license link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/batio3_domain_walls_ferret_2024.pdf,batio3_domain_walls_ferret_2024,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/berkeley_eecs_2018_131_negative_capacitance.pdf,berkeley_eecs_2018_131_negative_capacitance,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/berkeley_eecs_2025_13_future_computing.pdf,berkeley_eecs_2025_13_future_computing,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/bspline_everett_preisach_2024.pdf,B-Spline Based Everett Map for Preisach Model,https://arxiv.org/pdf/2410.02797.pdf,https://arxiv.org/abs/2410.02797,arXiv item page did not show explicit redistribution license; retain as link only,none,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/dual_bit_fefet_enhanced_storage_2025.pdf,Dual-Bit FeFET Enhanced Storage,https://doi.org/10.1038/s44335-025-00030-8,https://www.nature.com/articles/s44335-025-00030-8,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/ferro_scripts_Hyperferroelectrics_arXiv_1311.1186.pdf,ferro_scripts_Hyperferroelectrics_arXiv_1311.1186,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/first_principles_HfO2_ferroelectric_2024.pdf,First-principles predictions of HfO2-based ferroelectric,https://arxiv.org/pdf/2401.05288.pdf,https://arxiv.org/abs/2401.05288,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/first_principles_hfo2_superlattice_2024.pdf,First-Principles HfO2 Superlattice Design,https://arxiv.org/pdf/2401.05288.pdf,https://arxiv.org/abs/2401.05288,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hfo2_computational_understanding_2024.pdf,hfo2_computational_understanding_2024,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hfzro_ftj_polarization_2024.pdf,HfZrO FTJ Polarization Uniformity,https://arxiv.org/pdf/2412.11288.pdf,https://arxiv.org/abs/2412.11288,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hzo_superlattice_firstprinciples_2024.pdf,hzo_superlattice_firstprinciples_2024,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/hzo_superlattice_stability_2025.pdf,hzo_superlattice_stability_2025,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/in2se3_silicon_compatible_2025.pdf,in2se3_silicon_compatible_2025,,,,,replace-with-link,Explicit redistribution evidence is required before changing this row to keep.
